Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,Chrome 107.0.0.0,,,2022-10-27 13:26:33,2022-10-27 13:27:43,1m - 10.297s,PASSED
,,,,,,,
Test Cases/AutomationExercise/TC001 - Register User,Chrome 107.0.0.0,,,2022-10-27 13:26:33,2022-10-27 13:27:43,1m - 9.887s,PASSED
openBrowser(url),Chrome 107.0.0.0,,,2022-10-27 13:26:34,2022-10-27 13:26:50,16.267s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-10-27 13:26:50,2022-10-27 13:26:50,0.285s,PASSED
"verifyElementPresent(findTestObject(""TC001 Register User/Page_Automation Exercise/txt_Category""), 0)",Chrome 107.0.0.0,,,2022-10-27 13:26:50,2022-10-27 13:26:51,1.031s,PASSED
"click(findTestObject(""TC001 Register User/Page_Automation Exercise/btn_SignUpLogin""))",Chrome 107.0.0.0,,,2022-10-27 13:26:51,2022-10-27 13:26:57,6.065s,PASSED
"verifyElementVisible(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup  Login/txt_newUserSignUp""))",Chrome 107.0.0.0,,,2022-10-27 13:26:57,2022-10-27 13:26:58,0.739s,PASSED
"setText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup  Login/input_signUpName""), ""Yasin"")",Chrome 107.0.0.0,,,2022-10-27 13:26:58,2022-10-27 13:27:00,1.996s,PASSED
"setText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup  Login/input_signUpEmail""), ""yasin.deger@virgosol.com"")",Chrome 107.0.0.0,,,2022-10-27 13:27:00,2022-10-27 13:27:02,1.660s,PASSED
"click(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup  Login/btn_signUp""))",Chrome 107.0.0.0,,,2022-10-27 13:27:02,2022-10-27 13:27:09,6.952s,PASSED
"click(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/check_MrTitle""))",Chrome 107.0.0.0,,,2022-10-27 13:27:09,2022-10-27 13:27:10,0.794s,PASSED
"getText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__name""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-27 13:27:10,2022-10-27 13:27:11,0.978s,PASSED
"getText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__email""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-27 13:27:11,2022-10-27 13:27:11,0.529s,PASSED
"setEncryptedText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__password""), ""tO3m0nBa5UU8Rk419DvAxw=="")",Chrome 107.0.0.0,,,2022-10-27 13:27:11,2022-10-27 13:27:12,0.679s,PASSED
"selectOptionByValue(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/select_day""), ""1"", false)",Chrome 107.0.0.0,,,2022-10-27 13:27:12,2022-10-27 13:27:13,1.003s,PASSED
"selectOptionByValue(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/select_month""), ""5"", false)",Chrome 107.0.0.0,,,2022-10-27 13:27:13,2022-10-27 13:27:14,0.972s,PASSED
"selectOptionByValue(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/select_year""), ""2021"", false)",Chrome 107.0.0.0,,,2022-10-27 13:27:14,2022-10-27 13:27:15,1.077s,PASSED
"sendKeys(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__addressFirstName""), ""Yasin"")",Chrome 107.0.0.0,,,2022-10-27 13:27:15,2022-10-27 13:27:16,0.785s,PASSED
"setText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__addressLastName""), ""Değer"")",Chrome 107.0.0.0,,,2022-10-27 13:27:16,2022-10-27 13:27:17,0.980s,PASSED
"setText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__addressCompany""), ""virgosol"")",Chrome 107.0.0.0,,,2022-10-27 13:27:17,2022-10-27 13:27:18,1.123s,PASSED
"setText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__addressAddress1""), ""İzmir"")",Chrome 107.0.0.0,,,2022-10-27 13:27:18,2022-10-27 13:27:19,1.005s,PASSED
"selectOptionByValue(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/select_addressUnitedStates""), ""United States"", false)",Chrome 107.0.0.0,,,2022-10-27 13:27:19,2022-10-27 13:27:20,1.067s,PASSED
"setText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__addressState""), ""CA"")",Chrome 107.0.0.0,,,2022-10-27 13:27:20,2022-10-27 13:27:21,0.788s,PASSED
"setText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__addressCity""), ""Virginia"")",Chrome 107.0.0.0,,,2022-10-27 13:27:21,2022-10-27 13:27:22,1.018s,PASSED
"setText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__addressZipCode""), ""35000"")",Chrome 107.0.0.0,,,2022-10-27 13:27:22,2022-10-27 13:27:22,0.815s,PASSED
"setText(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/input__addressMobileNumber""), ""5308245631"")",Chrome 107.0.0.0,,,2022-10-27 13:27:22,2022-10-27 13:27:23,0.839s,PASSED
"scrollToElement(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/btn_CreateAccount""), 0)",Chrome 107.0.0.0,,,2022-10-27 13:27:23,2022-10-27 13:27:24,0.431s,PASSED
"click(findTestObject(""TC001 Register User/Page_Automation Exercise - Signup/btn_CreateAccount""))",Chrome 107.0.0.0,,,2022-10-27 13:27:24,2022-10-27 13:27:28,4.746s,PASSED
"verifyElementPresent(findTestObject(""TC001 Register User/Page_Automation Exercise - Account Created/txt_AccountCreated""), 0)",Chrome 107.0.0.0,,,2022-10-27 13:27:28,2022-10-27 13:27:29,0.622s,PASSED
"click(findTestObject(""TC001 Register User/Page_Automation Exercise - Account Created/btn_Continue""))",Chrome 107.0.0.0,,,2022-10-27 13:27:29,2022-10-27 13:27:33,4.079s,PASSED
"loginName = getText(findTestObject(""TC001 Register User/Page_Automation Exercise/txt_loggedNameAsMehmet""))",Chrome 107.0.0.0,,,2022-10-27 13:27:33,2022-10-27 13:27:34,0.669s,PASSED
"verifyElementText(findTestObject(""TC001 Register User/Page_Automation Exercise/txt_loggedNameAsMehmet""), loginName)",Chrome 107.0.0.0,,,2022-10-27 13:27:34,2022-10-27 13:27:35,0.838s,PASSED
"click(findTestObject(""TC001 Register User/Page_Automation Exercise/btn_deleteAccount""))",Chrome 107.0.0.0,,,2022-10-27 13:27:35,2022-10-27 13:27:37,2.765s,PASSED
"verifyElementPresent(findTestObject(""TC001 Register User/Page_Automation Exercise - Account Created/txt_Account Deleted""), 0)",Chrome 107.0.0.0,,,2022-10-27 13:27:37,2022-10-27 13:27:38,0.557s,PASSED
"click(findTestObject(""TC001 Register User/Page_Automation Exercise - Account Created/btn_Continue""))",Chrome 107.0.0.0,,,2022-10-27 13:27:38,2022-10-27 13:27:43,4.875s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-10-27 13:27:43,2022-10-27 13:27:43,0.281s,PASSED
