Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TasksSuit,Chrome 107.0.0.0,,,2022-10-27 16:30:01,2022-10-27 16:31:23,1m - 21.954s,PASSED
,,,,,,,
Test Cases/AutomationExercise/TC001 - Register User,Chrome 107.0.0.0,,,2022-10-27 16:30:02,2022-10-27 16:31:23,1m - 21.488s,PASSED
openBrowser(url),Chrome 107.0.0.0,,,2022-10-27 16:30:02,2022-10-27 16:30:22,20.313s,PASSED
waitForPageLoad(20),Chrome 107.0.0.0,,,2022-10-27 16:30:22,2022-10-27 16:30:23,0.720s,PASSED
maximizeWindow(),Chrome 107.0.0.0,,,2022-10-27 16:30:23,2022-10-27 16:30:23,0.333s,PASSED
"verifyElementPresent(findTestObject(""Page_Automation Exercise/txt_Category""), 0)",Chrome 107.0.0.0,,,2022-10-27 16:30:23,2022-10-27 16:30:24,0.889s,PASSED
"click(findTestObject(""Page_Automation Exercise/btn_SignUpLogin""))",Chrome 107.0.0.0,,,2022-10-27 16:30:24,2022-10-27 16:30:34,10.092s,PASSED
"verifyElementVisible(findTestObject(""Page_Automation Exercise - Signup  Login/txt_NewUserSignUp""))",Chrome 107.0.0.0,,,2022-10-27 16:30:34,2022-10-27 16:30:35,0.666s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_newUserSignUpName""), ""Yasin"")",Chrome 107.0.0.0,,,2022-10-27 16:30:35,2022-10-27 16:30:37,1.391s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup  Login/input_newUserSignUpEmail""), ""yasin.deger@virgosol.com"")",Chrome 107.0.0.0,,,2022-10-27 16:30:37,2022-10-27 16:30:38,1.762s,PASSED
"click(findTestObject(""Page_Automation Exercise - Signup  Login/button_Signup""))",Chrome 107.0.0.0,,,2022-10-27 16:30:38,2022-10-27 16:30:45,6.320s,PASSED
"click(findTestObject(""Page_Automation Exercise - Signup/input_mrTitle""))",Chrome 107.0.0.0,,,2022-10-27 16:30:45,2022-10-27 16:30:45,0.738s,PASSED
"getText(findTestObject(""Page_Automation Exercise - Signup/input__name""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-27 16:30:45,2022-10-27 16:30:46,0.942s,PASSED
"getText(findTestObject(""Page_Automation Exercise - Signup/input__email""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-10-27 16:30:46,2022-10-27 16:30:47,0.517s,PASSED
"setEncryptedText(findTestObject(""Page_Automation Exercise - Signup/input__password""), ""tO3m0nBa5UU8Rk419DvAxw=="")",Chrome 107.0.0.0,,,2022-10-27 16:30:47,2022-10-27 16:30:48,0.715s,PASSED
"selectOptionByValue(findTestObject(""Page_Automation Exercise - Signup/select_Day""), ""1"", false)",Chrome 107.0.0.0,,,2022-10-27 16:30:48,2022-10-27 16:30:49,1.130s,PASSED
"selectOptionByValue(findTestObject(""Page_Automation Exercise - Signup/select_Month""), ""5"", false)",Chrome 107.0.0.0,,,2022-10-27 16:30:49,2022-10-27 16:30:50,1.164s,PASSED
"selectOptionByValue(findTestObject(""Page_Automation Exercise - Signup/select_Year""), ""2021"", false)",Chrome 107.0.0.0,,,2022-10-27 16:30:50,2022-10-27 16:30:51,0.940s,PASSED
"scrollToElement(findTestObject(""Page_Automation Exercise - Signup/input_newsLetterCheckbox""), 0)",Chrome 107.0.0.0,,,2022-10-27 16:30:51,2022-10-27 16:30:51,0.673s,PASSED
"check(findTestObject(""Page_Automation Exercise - Signup/input_newsLetterCheckbox""))",Chrome 107.0.0.0,,,2022-10-27 16:30:51,2022-10-27 16:30:52,0.698s,PASSED
"check(findTestObject(""Page_Automation Exercise - Signup/input_specialOfferCheckbox""))",Chrome 107.0.0.0,,,2022-10-27 16:30:52,2022-10-27 16:30:53,0.585s,PASSED
"sendKeys(findTestObject(""Page_Automation Exercise - Signup/input__first_name""), ""Yasin"")",Chrome 107.0.0.0,,,2022-10-27 16:30:53,2022-10-27 16:30:53,0.596s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup/input__last_name""), ""Değer"")",Chrome 107.0.0.0,,,2022-10-27 16:30:53,2022-10-27 16:30:54,1.077s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup/input_Company_company""), ""virgosol"")",Chrome 107.0.0.0,,,2022-10-27 16:30:54,2022-10-27 16:30:55,0.931s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup/input_address1""), ""İzmir"")",Chrome 107.0.0.0,,,2022-10-27 16:30:55,2022-10-27 16:30:56,0.846s,PASSED
"selectOptionByValue(findTestObject(""Page_Automation Exercise - Signup/select_UnitedStates""), ""United States"", false)",Chrome 107.0.0.0,,,2022-10-27 16:30:56,2022-10-27 16:30:57,1.065s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup/input__state""), ""CA"")",Chrome 107.0.0.0,,,2022-10-27 16:30:57,2022-10-27 16:30:58,0.997s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup/input__city""), ""Virginia"")",Chrome 107.0.0.0,,,2022-10-27 16:30:58,2022-10-27 16:30:59,0.936s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup/input__zipcode""), ""35000"")",Chrome 107.0.0.0,,,2022-10-27 16:30:59,2022-10-27 16:31:00,0.978s,PASSED
"setText(findTestObject(""Page_Automation Exercise - Signup/input__mobile_number""), ""5308245631"")",Chrome 107.0.0.0,,,2022-10-27 16:31:00,2022-10-27 16:31:01,0.941s,PASSED
"scrollToElement(findTestObject(""Page_Automation Exercise - Signup/button_Create Account""), 0)",Chrome 107.0.0.0,,,2022-10-27 16:31:01,2022-10-27 16:31:02,0.528s,PASSED
"click(findTestObject(""Page_Automation Exercise - Signup/button_Create Account""))",Chrome 107.0.0.0,,,2022-10-27 16:31:02,2022-10-27 16:31:06,4.502s,PASSED
"verifyElementPresent(findTestObject(""Page_Automation Exercise - Account Created/txt_Account Created""), 0)",Chrome 107.0.0.0,,,2022-10-27 16:31:06,2022-10-27 16:31:07,0.675s,PASSED
"click(findTestObject(""Page_Automation Exercise - Account Created/btn_ContinueButton""))",Chrome 107.0.0.0,,,2022-10-27 16:31:07,2022-10-27 16:31:13,6.483s,PASSED
"loginName = getText(findTestObject(""Page_Automation Exercise/a_Logged in as Name""))",Chrome 107.0.0.0,,,2022-10-27 16:31:13,2022-10-27 16:31:14,0.688s,PASSED
"verifyElementText(findTestObject(""Page_Automation Exercise/a_Logged in as Name""), loginName)",Chrome 107.0.0.0,,,2022-10-27 16:31:14,2022-10-27 16:31:15,0.802s,PASSED
"click(findTestObject(""Page_Automation Exercise/a_Delete Account""))",Chrome 107.0.0.0,,,2022-10-27 16:31:15,2022-10-27 16:31:18,2.895s,PASSED
"verifyElementPresent(findTestObject(""Page_Automation Exercise - Account Created/b_Account Deleted""), 0)",Chrome 107.0.0.0,,,2022-10-27 16:31:18,2022-10-27 16:31:18,0.622s,PASSED
"click(findTestObject(""Page_Automation Exercise - Account Created/btn_ContinueButton""))",Chrome 107.0.0.0,,,2022-10-27 16:31:18,2022-10-27 16:31:23,4.507s,PASSED
closeBrowser(),Chrome 107.0.0.0,,,2022-10-27 16:31:23,2022-10-27 16:31:23,0.252s,PASSED
